"BehaviorSpace results (NetLogo 6.0.1)"
"pollution.nlogo"
"experiment"
"08/16/2018 16:05:58:533 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","punishedTurtlesWeight","surroundingWasteWeight","punishedCounterWeight","cleaningAmount","agentNumber","wasteAmount","[step]","mean [pollution] of patches"
"400","0","0.5","0.75","0.02","300","15","1000","99.70648301193766"
"401","0","0.5","0.75","0.02","300","15","1000","99.70148760330589"
"402","0","0.5","0.75","0.02","300","15","1000","99.69011937557406"
"403","0","0.5","0.75","0.02","300","15","1000","99.71594123048656"
"404","0","0.5","0.75","0.02","300","15","1000","99.69829201101936"
"405","0","0.5","0.75","0.02","300","15","1000","99.691368227732"
"406","0","0.5","0.75","0.02","300","15","1000","99.69046831955929"
"408","0","0.5","0.75","0.02","300","15","1000","99.69263544536292"
"407","0","0.5","0.75","0.02","300","15","1000","99.68894398530789"
"409","0","0.5","0.75","0.02","300","15","1000","99.69983471074386"
"410","0","0.5","0.75","0.02","300","15","1000","99.70512396694217"
"411","0","0.5","0.75","0.02","300","15","1000","99.69904499540867"
"412","0","0.5","0.75","0.02","300","15","1000","99.71665748393032"
"414","0","0.5","0.75","0.02","300","15","1000","99.70075298438944"
"413","0","0.5","0.75","0.02","300","15","1000","99.6818181818182"
"415","0","0.5","0.75","0.02","300","15","1000","99.69461891643726"
"416","0","0.5","0.75","0.02","300","15","1000","99.70850321395778"
"417","0","0.5","0.75","0.02","300","15","1000","99.7013774104684"
"418","0","0.5","0.75","0.02","300","15","1000","99.6867768595043"
"419","0","0.5","0.75","0.02","300","15","1000","99.70152433425163"
"420","0","0.5","0.75","0.02","300","15","1000","99.70872359963279"
"421","0","0.5","1","0.02","300","15","1000","99.66082644628109"
"422","0","0.5","1","0.02","300","15","1000","99.67889807162537"
"423","0","0.5","1","0.02","300","15","1000","99.6761065197429"
"424","0","0.5","1","0.02","300","15","1000","99.68754820936645"
"425","0","0.5","1","0.02","300","15","1000","99.67140495867778"
"426","0","0.5","1","0.02","300","15","1000","99.68382001836557"
"427","0","0.5","1","0.02","300","15","1000","99.67133149678622"
"428","0","0.5","1","0.02","300","15","1000","99.69597796143258"
"429","0","0.5","1","0.02","300","15","1000","99.69142332415058"
"430","0","0.5","1","0.02","300","15","1000","99.67513314967867"
"431","0","0.5","1","0.02","300","15","1000","99.67041322314056"
"432","0","0.5","1","0.02","300","15","1000","99.65629017447186"
"433","0","0.5","1","0.02","300","15","1000","99.65621671258053"
"434","0","0.5","1","0.02","300","15","1000","99.6830853994491"
"435","0","0.5","1","0.02","300","15","1000","99.6734802571166"
"436","0","0.5","1","0.02","300","15","1000","99.6598530762168"
"437","0","0.5","1","0.02","300","15","1000","99.667015610652"
"438","0","0.5","1","0.02","300","15","1000","99.67979797979795"
"440","0","0.5","1","0.02","300","15","1000","99.66053259871441"
"439","0","0.5","1","0.02","300","15","1000","99.68075298438956"
"441","0","0.5","1","0.02","300","15","1000","99.68657483930217"
"442","0","0.5","1","0.02","300","15","1000","99.67061524334258"
"443","0","0.5","1","0.02","300","15","1000","99.66835629017469"
"444","0","0.5","1","0.02","300","15","1000","99.66756657483927"
